Num_Acc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma,id_usager,id_vehicule_x,num_veh_x,place,catu,grav,sexe,an_nais,trajet,secu1,secu2,secu3,locp,actp,etatp,id_vehicule_y,num_veh_y,senc,catv,obs,obsm,choc,manv,motor,occutc
202200036611,15,7,2022,02:20,5,33,33529,2,1,1,6,OCEAN (BD DE L'),"44,6303800000"," -1,2026310000",3,OCEAN (BD DE L'),0,,2,2,1,1,5,425,1,, -1,1,0,5,50,1 012 661,748 709,A01,1,1,4,1,1999.0,0,0,-1,-1,-1, -1,-1,748 709,A01,1,1,0,1,1,1,5,
202200036618,17,1,2022,21:16,1,973,97309,2,6,1,3,SUZINI (CARREFOUR),"4,9269600000"," -52,2899300000",3,SUZINI (CARREFOUR),0,,1,2,0,1,4,728,3,, -1,1,0,1,50,1 012 635,748 696,B01,1,1,4,1,1984.0,0,2,8,-1,-1, -1,-1,748 696,B01,1,1,0,2,8,2,5,
202200036618,17,1,2022,21:16,1,973,97309,2,6,1,3,SUZINI (CARREFOUR),"4,9269600000"," -52,2899300000",3,SUZINI (CARREFOUR),0,,1,2,0,1,4,728,3,, -1,1,0,1,50,1 012 636,748 697,A01,1,1,1,2,1942.0,0,1,8,-1,-1, -1,-1,748 696,B01,1,1,0,2,8,2,5,
202200036626,27,2,2022,17:35,1,35,35238,2,9,1,3,CHURCHILL (AVENUE SIR WINSTON),"48,1224300000"," -1,7088500000",4,CHURCHILL (AVENUE SIR WINSTON),0,,2,2,0,1,(1),(1),1,, -1,1,0,1,50,1 012 618,748 684,A01,1,1,1,1,1988.0,0,1,0,-1,-1, -1,-1,748 687,B01,0,1,0,2,3,1,5,
202200036626,27,2,2022,17:35,1,35,35238,2,9,1,3,CHURCHILL (AVENUE SIR WINSTON),"48,1224300000"," -1,7088500000",4,CHURCHILL (AVENUE SIR WINSTON),0,,2,2,0,1,(1),(1),1,, -1,1,0,1,50,1 012 621,748 687,B01,1,1,4,1,1994.0,5,0,-1,-1,0,0,-1,748 687,B01,0,1,0,2,3,1,5,
202200036663,17,1,2022,08:30,2,78,78440,2,2,1,3,JEAN MERMOZ (RUE),"48,9905780000","1,8973670000",4,JEAN MERMOZ (RUE),0,,2,2,0,1,(1),(1),1,, -1,1,0,1,50,1 012 527,748 619,B01,1,1,4,1,1940.0,0,0,0,-1,-1, -1,-1,748 619,B01,0,1,0,2,7,0,5,
202200036663,17,1,2022,08:30,2,78,78440,2,2,1,3,JEAN MERMOZ (RUE),"48,9905780000","1,8973670000",4,JEAN MERMOZ (RUE),0,,2,2,0,1,(1),(1),1,, -1,1,0,1,50,1 012 530,748 621,A01,1,1,1,1,1960.0,4,1,8,-1,-1, -1,-1,748 619,B01,0,1,0,2,7,0,5,
202200036685,24,8,2022,10:35,1,76,76540,2,3,1,1,Rue du Mont Gargan,"49,4365700000","1,1104700000",7,MONT GARGAN. RUE DU,0,,2,2,0,1,0,1,1,, -1,1,0,1,30,1 012 466,748 577,A01,1,1,1,1,1997.0,4,1,-1,-1,-1, -1,-1,748 580,B01,3,1,0,2,1,1,5,
202200036685,24,8,2022,10:35,1,76,76540,2,3,1,1,Rue du Mont Gargan,"49,4365700000","1,1104700000",7,MONT GARGAN. RUE DU,0,,2,2,0,1,0,1,1,, -1,1,0,1,30,1 012 470,748 580,B01,1,1,4,1,1994.0,5,8,-1,-1,-1, -1,-1,748 580,B01,3,1,0,2,1,1,5,
202200036705,15,1,2022,19:45,5,56,56098,2,2,1,3,COMBES (RUE  EMILE ),"47,7719300000"," -3,3387800000",4,COMBES (RUE  EMILE ),0,,2,2,0,1,(1),(1),1,, -1,1,0,1,30,1 012 414,748 537,A01,1,1,1,2,1991.0,1,1,8,-1,-1, -1,-1,748 539,B01,2,1,0,2,7,1,5,
