Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infrasituenv1,place,catu,grav,sexe,trajet,secu,locp,actp,etatp,an_nais,num_veh_x,senc,catv,occutc,obs,obsm,choc,manv,num_veh_y
200900020980,9,9,30,930,1,2,2,1.0,7,106,29, BOULEVARD DU MONTPAR,,,750.0,4,0.0,,,1.0,3.0,,,3.0,1.0,1.0,11.0,104.0,2.0,100.0,1.0,1,4,2,1.0,23.0,0.0,0.0,0.0,1977.0,A01,0,1,0,0.0,0.0,0.0,7.0,A01
200900020986,9,9,30,1205,1,2,3,1.0,3,112,QUAI DE LA RAPEE,,,,750.0,4,0.0,,,1.0,1.0,,,0.0,1.0,1.0,0.0,41.0,1.0,100.0,1.0,1,4,2,5.0,23.0,0.0,0.0,0.0,1971.0,B01,0,1,0,0.0,2.0,8.0,1.0,B01
200900020994,9,9,30,1800,1,2,2,1.0,7,114,07, RUE DU DEPART,,,750.0,4,0.0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,80.0,1.0,103.0,,3,4,2,0.0,,2.0,3.0,1.0,1969.0,A01,0,1,0,0.0,1.0,1.0,1.0,A01
200900021073,9,6,25,1640,1,2,1,1.0,3,117,RD11/Chemin de Tuco,M,0,0,400.0,3,11.0,,,2.0,2.0,32.0,480.0,0.0,1.0,1.0,0.0,75.0,1.0,199.0,1.0,1,3,2,5.0,11.0,0.0,0.0,0.0,1945.0,B02,0,1,0,0.0,2.0,1.0,1.0,B02
200900021124,9,6,25,806,1,2,3,1.0,2,4,R A.FRAPPIN/R ML JUIN,M,4,0,450.0,4,0.0,,,2.0,2.0,,,0.0,1.0,0.0,0.0,90.0,1.0,199.0,1.0,1,4,1,2.0,93.0,0.0,0.0,0.0,1997.0,A01,0,1,0,1.0,0.0,1.0,2.0,A01
200900021129,9,6,27,1515,1,2,3,1.0,3,68,R E.LALO/R St JUST,M,4,0,450.0,4,0.0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,0.0,1.0,503.0,1.0,1,3,2,5.0,93.0,0.0,0.0,0.0,2003.0,B01,0,1,0,0.0,0.0,7.0,19.0,B01
200900021136,9,6,18,2310,5,2,1,2.0,4,284,276 RUE DE CHARBONNIERE,M,4,0,450.0,4,0.0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,66.0,2.0,199.0,1.0,1,3,2,0.0,22.0,0.0,0.0,0.0,1976.0,C01,0,1,0,0.0,2.0,1.0,1.0,C01
200900021144,9,6,29,2140,1,2,1,1.0,6,234,5 RUE ROMAIN ROLLAND,M,4,0,450.0,4,0.0,,,3.0,2.0,,,2.0,1.0,1.0,0.0,70.0,1.0,100.0,1.0,1,4,1,1.0,22.0,0.0,0.0,0.0,1960.0,A01,0,1,0,0.0,1.0,1.0,1.0,A01
200900021145,9,6,21,1540,1,2,2,1.0,5,234,R ILLIERS/R LIMARE,M,4,0,450.0,4,0.0,,,1.0,1.0,,,0.0,1.0,1.0,0.0,35.0,1.0,199.0,1.0,1,1,1,0.0,13.0,0.0,0.0,0.0,1991.0,B01,0,1,0,0.0,2.0,1.0,5.0,B01
200900021148,9,6,2,745,1,2,2,1.0,6,482,SPV,ROUTE OBERHAUSBERGEN,M,0,670.0,4,0.0,,,2.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0,1.0,199.0,1.0,1,4,1,2.0,22.0,0.0,0.0,0.0,1991.0,B01,0,1,0,0.0,2.0,1.0,1.0,B01
200900021155,9,6,15,1245,1,2,1,2.0,3,365,SPV, RUE DU 23 NOVEMBRE,M,0,670.0,4,0.0,,,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,110.0,2.0,100.0,1.0,1,4,1,1.0,93.0,0.0,0.0,0.0,1984.0,A01,0,1,0,0.0,2.0,0.0,19.0,A01
200900021159,9,6,6,1858,1,2,1,1.0,3,482,SPV, PONT W. CHURCHILL,M,0,670.0,4,0.0,,,2.0,2.0,0.0,0.0,1.0,1.0,1.0,15.0,0.0,1.0,4100.0,1.0,1,4,1,0.0,92.0,0.0,0.0,0.0,1998.0,B01,0,1,0,0.0,4.0,1.0,16.0,B01
200900021173,9,6,8,820,1,2,1,1.0,6,482,SPV,11BLD DE LA DORDOGNE,M,0,670.0,9,0.0,,,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,500.0,1.0,1,1,1,0.0,93.0,0.0,0.0,0.0,1968.0,A01,0,1,0,0.0,1.0,1.0,1.0,A01
200900021175,9,6,13,1700,1,2,3,1.0,3,482,SPV, RUE DE LA LAMPROIE,M,0,670.0,4,0.0,,,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,60.0,1.0,100.0,1.0,1,4,2,3.0,22.0,0.0,0.0,0.0,1954.0,A01,0,1,0,0.0,2.0,1.0,19.0,A01
200900021177,9,6,27,2145,2,2,3,1.0,3,522,PV,INTER R LIBERTE-MENUI,M,0,670.0,4,0.0,,,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,52.0,1.0,0.0,1.0,1,4,1,5.0,1.0,0.0,0.0,0.0,2001.0,B02,0,1,0,0.0,2.0,1.0,16.0,B02
200900021194,9,6,28,1015,1,2,1,1.0,1,67,PV,32 R DU GAL DE GAULLE,M,4,670.0,6,0.0,,,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,52.0,1.0,599.0,1.0,1,4,1,5.0,21.0,0.0,0.0,0.0,1963.0,B02,0,1,0,0.0,2.0,1.0,1.0,B02
200900021197,9,6,17,1200,1,2,7,1.0,3,28,PV, PARKING INTERMARCHE,M,4,670.0,6,0.0,,,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,90.0,1.0,99.0,1.0,1,3,2,1.0,1.0,0.0,0.0,0.0,1964.0,B02,0,1,0,0.0,2.0,7.0,21.0,B02
200900021216,9,6,28,1750,1,2,1,1.0,1,447,SPV, RUE DU LANGUEDOC,M,0,670.0,4,0.0,,,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,72.0,1.0,100.0,1.0,1,4,2,5.0,93.0,0.0,0.0,0.0,2001.0,B01,0,1,0,0.0,2.0,8.0,19.0,B01
